verificationStatus,referenceDesignator,deployYear,deploymentSheetAssetID,rawFileVerification,imageVerification,calFileVerification,calibrationRequired,HITLstatus,HITLnotes,,
NOT_VERIFIED,RS03AXPS-PC03A-4B-PHSENA302,2024,ATAPL-58337-00004,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS03AXPS-PC03A-4A-DOSTAD303,2024,ATAPL-58320-00002,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-PC03A-4A-CTDPFA303,2024,ATAPL-66662-00004,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPD-DP03A-06-DOSTAD304,2024,ATOSU-58320-00008,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPD-DP03A-03-FLNTUA302,2024,ATAPL-70110-00001,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPD-DP03A-03-FLCDRA302,2024,ATAPL-70111-00001,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPD-DP03A-02-VEL3DA303,2024,ATOSU-58346-00008,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS03AXBS-LJ03A-12-DOSTAD301,2024,ATAPL-58320-00003,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXBS-LJ03A-12-CTDPFB301,2024,ATAPL-67627-00003,NO_FILE,MATCH,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXBS-LJ03A-11-OPTAAC303,2024,ATAPL-69943-00003,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03ASHS-MJ03B-10-CTDPFB304,2024,ATCWK-67627-00007,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SLBS-LJ01A-12-DOSTAD101,2024,ATAPL-58320-00014,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SLBS-LJ01A-12-CTDPFB101,2024,ATAPL-67627-00002,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SLBS-LJ01A-11-OPTAAC103,2024,ATAPL-69943-00008,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-4F-PCO2WA101,2024,ATAPL-58336-00004,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SBPS-SF01A-4A-NUTNRA101,2024,ATAPL-68020-00003,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SBPS-SF01A-3D-SPKIRA101,2024,ATAPL-58341-00003,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SBPS-SF01A-3C-PARADA101,2024,ATAPL-78452-00001,NO_FILE,MATCH,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SBPS-SF01A-3B-OPTAAD101,2024,ATAPL-58332-00004,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SBPS-SF01A-3A-FLORTD101,2024,ATAPL-58322-00003,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-2D-PHSENA101,2024,ATOSU-58337-00012,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-2A-DOFSTA102,2024,ATAPL-58694-00003,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SBPS-SF01A-2A-CTDPFA102,2024,ATAPL-66662-00005,MATCH,NAN,VALID_FILE,TRUE,NA,,,
